"date","EV71_JAP__IASR__inc"
"1999-12-25",228
"2000-01-01",228
"2000-01-08",241
"2000-01-15",322
"2000-01-22",280
"2000-01-29",214
"2000-02-05",186
"2000-02-12",190
"2000-02-19",207
"2000-02-26",260
"2000-03-04",260
"2000-03-11",267
"2000-03-18",255
"2000-03-25",264
"2000-04-01",320
"2000-04-08",416
"2000-04-15",565
"2000-04-22",740
"2000-04-29",770
"2000-05-06",1007
"2000-05-13",1683
"2000-05-20",2966
"2000-05-27",3929
"2000-06-03",5599
"2000-06-10",7455
"2000-06-17",10169
"2000-06-24",13449
"2000-07-01",16761
"2000-07-08",17576
"2000-07-15",16108
"2000-07-22",13385
"2000-07-29",10881
"2000-08-05",8449
"2000-08-12",5316
"2000-08-19",4529
"2000-08-26",5166
"2000-09-02",4948
"2000-09-09",4827
"2000-09-16",4957
"2000-09-23",4329
"2000-09-30",3730
"2000-10-07",3468
"2000-10-14",3222
"2000-10-21",3180
"2000-10-28",3294
"2000-11-04",3219
"2000-11-11",3274
"2000-11-18",2903
"2000-11-25",2841
"2000-12-02",2214
"2000-12-09",1912
"2000-12-16",1454
"2000-12-23",1180
"2000-12-30",478
"2001-01-06",553
"2001-01-13",765
"2001-01-20",790
"2001-01-27",727
"2001-02-03",782
"2001-02-10",718
"2001-02-17",790
"2001-02-24",724
"2001-03-03",704
"2001-03-10",688
"2001-03-17",640
"2001-03-24",547
"2001-03-31",564
"2001-04-07",629
"2001-04-14",764
"2001-04-21",871
"2001-04-28",649
"2001-05-05",1172
"2001-05-12",1856
"2001-05-19",2435
"2001-05-26",3420
"2001-06-02",4148
"2001-06-09",5667
"2001-06-16",6628
"2001-06-23",9218
"2001-06-30",9914
"2001-07-07",10233
"2001-07-14",8629
"2001-07-21",7086
"2001-07-28",4972
"2001-08-04",3428
"2001-08-11",2202
"2001-08-18",1949
"2001-08-25",2253
"2001-09-01",2330
"2001-09-08",2299
"2001-09-15",2539
"2001-09-22",2129
"2001-09-29",1676
"2001-10-06",1781
"2001-10-13",1862
"2001-10-20",1999
"2001-10-27",1819
"2001-11-03",2008
"2001-11-10",1882
"2001-11-17",1706
"2001-11-24",1537
"2001-12-01",1389
"2001-12-08",1289
"2001-12-15",1121
"2001-12-22",795
"2001-12-29",125
"2002-01-05",157
"2002-01-12",206
"2002-01-19",252
"2002-01-26",248
"2002-02-02",220
"2002-02-09",205
"2002-02-16",221
"2002-02-23",187
"2002-03-02",195
"2002-03-09",205
"2002-03-16",174
"2002-03-23",179
"2002-03-30",183
"2002-04-06",179
"2002-04-13",299
"2002-04-20",388
"2002-04-27",315
"2002-05-04",462
"2002-05-11",682
"2002-05-18",1034
"2002-05-25",1132
"2002-06-01",1285
"2002-06-08",1456
"2002-06-15",2037
"2002-06-22",2224
"2002-06-29",2862
"2002-07-06",3479
"2002-07-13",3510
"2002-07-20",3438
"2002-07-27",2746
"2002-08-03",2000
"2002-08-10",1247
"2002-08-17",990
"2002-08-24",1235
"2002-08-31",1348
"2002-09-07",1321
"2002-09-14",1173
"2002-09-21",966
"2002-09-28",967
"2002-10-05",977
"2002-10-12",929
"2002-10-19",867
"2002-10-26",893
"2002-11-02",716
"2002-11-09",718
"2002-11-16",632
"2002-11-23",596
"2002-11-30",591
"2002-12-07",506
"2002-12-14",501
"2002-12-21",347
"2002-12-28",188
"2003-01-04",300
"2003-01-11",318
"2003-01-18",276
"2003-01-25",280
"2003-02-01",300
"2003-02-08",280
"2003-02-15",256
"2003-02-22",317
"2003-03-01",343
"2003-03-08",452
"2003-03-15",337
"2003-03-22",359
"2003-03-29",392
"2003-04-05",472
"2003-04-12",639
"2003-04-19",735
"2003-04-26",911
"2003-05-03",926
"2003-05-10",1546
"2003-05-17",2447
"2003-05-24",2881
"2003-05-31",3522
"2003-06-07",4179
"2003-06-14",6532
"2003-06-21",9732
"2003-06-28",12036
"2003-07-05",13881
"2003-07-12",15227
"2003-07-19",12426
"2003-07-26",10957
"2003-08-02",9402
"2003-08-09",5750
"2003-08-16",5456
"2003-08-23",5661
"2003-08-30",5973
"2003-09-06",5419
"2003-09-13",5090
"2003-09-20",4023
"2003-09-27",3500
"2003-10-04",2892
"2003-10-11",1937
"2003-10-18",2013
"2003-10-25",1896
"2003-11-01",1643
"2003-11-08",1651
"2003-11-15",1792
"2003-11-22",1396
"2003-11-29",1185
"2003-12-06",1018
"2003-12-13",897
"2003-12-20",618
"2003-12-27",187
"2004-01-03",219
"2004-01-10",198
"2004-01-17",233
"2004-01-24",242
"2004-01-31",194
"2004-02-07",184
"2004-02-14",169
"2004-02-21",188
"2004-02-28",157
"2004-03-06",148
"2004-03-13",152
"2004-03-20",165
"2004-03-27",131
"2004-04-03",166
"2004-04-10",207
"2004-04-17",275
"2004-04-24",336
"2004-05-01",252
"2004-05-08",399
"2004-05-15",642
"2004-05-22",812
"2004-05-29",893
"2004-06-05",1198
"2004-06-12",1666
"2004-06-19",1717
"2004-06-26",2565
"2004-07-03",3173
"2004-07-10",3937
"2004-07-17",3799
"2004-07-24",3962
"2004-07-31",3874
"2004-08-07",2786
"2004-08-14",2528
"2004-08-21",2755
"2004-08-28",3147
"2004-09-04",3116
"2004-09-11",3490
"2004-09-18",3141
"2004-09-25",3237
"2004-10-02",3506
"2004-10-09",3095
"2004-10-16",2984
"2004-10-23",3029
"2004-10-30",2773
"2004-11-06",2814
"2004-11-13",2712
"2004-11-20",2605
"2004-11-27",2266
"2004-12-04",2036
"2004-12-11",1971
"2004-12-18",1510
"2004-12-25",786
"2005-01-01",552
"2005-01-08",523
"2005-01-15",704
"2005-01-22",762
"2005-01-29",578
"2005-02-05",542
"2005-02-12",552
"2005-02-19",516
"2005-02-26",450
"2005-03-05",456
"2005-03-12",466
"2005-03-19",449
"2005-03-26",473
"2005-04-02",433
"2005-04-09",529
"2005-04-16",647
"2005-04-23",822
"2005-04-30",762
"2005-05-07",1026
"2005-05-14",1563
"2005-05-21",1763
"2005-05-28",1901
"2005-06-04",2424
"2005-06-11",2882
"2005-06-18",3786
"2005-06-25",4988
"2005-07-02",6108
"2005-07-09",7050
"2005-07-16",6050
"2005-07-23",5063
"2005-07-30",4385
"2005-08-06",3335
"2005-08-13",2404
"2005-08-20",2194
"2005-08-27",2315
"2005-09-03",2058
"2005-09-10",2185
"2005-09-17",1788
"2005-09-24",1443
"2005-10-01",1225
"2005-10-08",1226
"2005-10-15",1126
"2005-10-22",1223
"2005-10-29",1065
"2005-11-05",968
"2005-11-12",938
"2005-11-19",834
"2005-11-26",643
"2005-12-03",702
"2005-12-10",692
"2005-12-17",511
"2005-12-24",328
"2005-12-31",206
"2006-01-07",242
"2006-01-14",238
"2006-01-21",266
"2006-01-28",244
"2006-02-04",221
"2006-02-11",250
"2006-02-18",259
"2006-02-25",324
"2006-03-04",297
"2006-03-11",295
"2006-03-18",249
"2006-03-25",250
"2006-04-01",311
"2006-04-08",335
"2006-04-15",540
"2006-04-22",508
"2006-04-29",468
"2006-05-06",709
"2006-05-13",1055
"2006-05-20",1531
"2006-05-27",2011
"2006-06-03",2255
"2006-06-10",2731
"2006-06-17",3509
"2006-06-24",4081
"2006-07-01",5009
"2006-07-08",5787
"2006-07-15",5414
"2006-07-22",5735
"2006-07-29",5104
"2006-08-05",3996
"2006-08-12",2750
"2006-08-19",2670
"2006-08-26",3258
"2006-09-02",3511
"2006-09-09",3190
"2006-09-16",3018
"2006-09-23",2725
"2006-09-30",2554
"2006-10-07",2721
"2006-10-14",2473
"2006-10-21",2272
"2006-10-28",2107
"2006-11-04",1922
"2006-11-11",1656
"2006-11-18",1574
"2006-11-25",1517
"2006-12-02",1623
"2006-12-09",1404
"2006-12-16",1376
"2006-12-23",1185
"2006-12-30",473
"2007-01-06",601
"2007-01-13",1061
"2007-01-20",1151
"2007-01-27",1100
"2007-02-03",1188
"2007-02-10",893
"2007-02-17",1123
"2007-02-24",952
"2007-03-03",864
"2007-03-10",868
"2007-03-17",652
"2007-03-24",585
"2007-03-31",486
"2007-04-07",540
"2007-04-14",555
"2007-04-21",742
"2007-04-28",462
"2007-05-05",746
"2007-05-12",1005
"2007-05-19",1123
"2007-05-26",1352
"2007-06-02",1747
"2007-06-09",1954
"2007-06-16",2720
"2007-06-23",3494
"2007-06-30",4597
"2007-07-07",5633
"2007-07-14",5541
"2007-07-21",5545
"2007-07-28",5011
"2007-08-04",3890
"2007-08-11",2451
"2007-08-18",2321
"2007-08-25",2743
"2007-09-01",2840
"2007-09-08",2768
"2007-09-15",2340
"2007-09-22",2072
"2007-09-29",2008
"2007-10-06",1772
"2007-10-13",1716
"2007-10-20",1499
"2007-10-27",1251
"2007-11-03",1566
"2007-11-10",1451
"2007-11-17",1264
"2007-11-24",1162
"2007-12-01",1020
"2007-12-08",1078
"2007-12-15",945
"2007-12-22",778
"2007-12-29",278
"2008-01-05",389
"2008-01-12",502
"2008-01-19",546
"2008-01-26",523
"2008-02-02",563
"2008-02-09",397
"2008-02-16",451
"2008-02-23",412
"2008-03-01",431
"2008-03-08",521
"2008-03-15",486
"2008-03-22",495
"2008-03-29",468
"2008-04-05",531
"2008-04-12",756
"2008-04-19",978
"2008-04-26",1090
"2008-05-03",1162
"2008-05-10",1478
"2008-05-17",2115
"2008-05-24",2587
"2008-05-31",3160
"2008-06-07",4138
"2008-06-14",5077
"2008-06-21",6121
"2008-06-28",7509
"2008-07-05",8589
"2008-07-12",10432
"2008-07-19",9860
"2008-07-26",8768
"2008-08-02",7892
"2008-08-09",4753
"2008-08-16",4239
"2008-08-23",4627
"2008-08-30",5491
"2008-09-06",5346
"2008-09-13",3893
"2008-09-20",3820
"2008-09-27",3438
"2008-10-04",3207
"2008-10-11",2691
"2008-10-18",2559
"2008-10-25",2326
"2008-11-01",1947
"2008-11-08",1631
"2008-11-15",1524
"2008-11-22",1240
"2008-11-29",1123
"2008-12-06",1054
"2008-12-13",888
"2008-12-20",683
"2008-12-27",211
"2009-01-03",293
"2009-01-10",253
"2009-01-17",224
"2009-01-24",242
"2009-01-31",238
"2009-02-07",248
"2009-02-14",209
"2009-02-21",227
"2009-02-28",219
"2009-03-07",194
"2009-03-14",206
"2009-03-21",180
"2009-03-28",205
"2009-04-04",237
"2009-04-11",231
"2009-04-18",294
"2009-04-25",277
"2009-05-02",165
"2009-05-09",309
"2009-05-16",453
"2009-05-23",471
"2009-05-30",634
"2009-06-06",824
"2009-06-13",1091
"2009-06-20",1438
"2009-06-27",1990
"2009-07-04",3311
"2009-07-11",4417
"2009-07-18",4544
"2009-07-25",5111
"2009-08-01",5170
"2009-08-08",3648
"2009-08-15",3863
"2009-08-22",3423
"2009-08-29",3071
"2009-09-05",2697
"2009-09-12",2225
"2009-09-19",1229
"2009-09-26",1311
"2009-10-03",1812
"2009-10-10",1659
"2009-10-17",1332
"2009-10-24",1264
"2009-10-31",1063
"2009-11-07",959
"2009-11-14",1033
"2009-11-21",859
"2009-11-28",700
"2009-12-05",774
"2009-12-12",699
"2009-12-19",592
"2009-12-26",249
"2010-01-02",318
"2010-01-09",295
"2010-01-16",390
"2010-01-23",451
"2010-01-30",488
"2010-02-06",558
"2010-02-13",606
"2010-02-20",777
"2010-02-27",866
"2010-03-06",1116
"2010-03-13",1262
"2010-03-20",1112
"2010-03-27",1183
"2010-04-03",1313
"2010-04-10",1674
"2010-04-17",2392
"2010-04-24",2494
"2010-05-01",1679
"2010-05-08",2263
"2010-05-15",4296
"2010-05-22",4664
"2010-05-29",5430
"2010-06-05",4816
"2010-06-12",5445
"2010-06-19",7771
"2010-06-26",9477
"2010-07-03",11769
"2010-07-10",11945
"2010-07-17",10737
"2010-07-24",8864
"2010-07-31",7197
"2010-08-07",4845
"2010-08-14",4011
"2010-08-21",3640
"2010-08-28",3391
"2010-09-04",3138
"2010-09-11",2710
"2010-09-18",1868
"2010-09-25",1670
"2010-10-02",1475
"2010-10-09",1278
"2010-10-16",1232
"2010-10-23",1173
"2010-10-30",1079
"2010-11-06",1047
"2010-11-13",898
"2010-11-20",836
"2010-11-27",779
"2010-12-04",771
"2010-12-11",639
"2010-12-18",566
"2010-12-25",327
"2011-01-01",295
"2011-01-08",300
"2011-01-15",365
"2011-01-22",413
"2011-01-29",464
"2011-02-05",347
"2011-02-12",363
"2011-02-19",468
"2011-02-26",419
"2011-03-05",397
"2011-03-12",405
"2011-03-19",358
"2011-03-26",382
"2011-04-02",348
"2011-04-09",538
"2011-04-16",636
"2011-04-23",715
"2011-04-30",678
"2011-05-07",960
"2011-05-14",2033
"2011-05-21",2076
"2011-05-28",3435
"2011-06-04",5275
"2011-06-11",8166
"2011-06-18",13380
"2011-06-25",22506
"2011-07-02",30506
"2011-07-09",34216
"2011-07-16",27880
"2011-07-23",25636
"2011-07-30",23568
"2011-08-06",17100
"2011-08-13",13225
"2011-08-20",12383
"2011-08-27",13797
"2011-09-03",12974
"2011-09-10",11208
"2011-09-17",8597
"2011-09-24",8030
"2011-10-01",5844
"2011-10-08",4574
"2011-10-15",3953
"2011-10-22",3510
"2011-10-29",3609
"2011-11-05",2936
"2011-11-12",3108
"2011-11-19",2558
"2011-11-26",2366
"2011-12-03",2397
"2011-12-10",2279
"2011-12-17",1819
"2011-12-24",1192
