5.67491,0.0465592,0.0168539,-0.0030798,-0.00125654,0,0,0,0,0,0,0.000384757,-0.00102223,0.00280904,-0.00732635,-0.00611698,-0.0229016,0,-0.00367594,0.447837,-0.160334,0.01508,-0.000151092
0.0465592,0.0155955,0.007596,-0.00616806,-0.00551999,0,0,0,0,0,0,0.00442097,0.00516217,0.00525574,0.00671294,-0.000487814,0.00218374,0,0.00324316,-0.010592,-0.00867204,0.000119222,-0.000223121
0.0168539,0.007596,0.00940436,-0.0063153,-0.00514694,0,0,0,0,0,0,0.00514168,0.00612132,0.00519015,0.0063812,-0.000827466,-0.0038702,0,0.00313543,-0.00812238,-0.00367235,-0.000790317,-0.00048149
-0.0030798,-0.00616806,-0.0063153,0.00552798,0.0045389,0,0,0,0,0,0,-0.00398285,-0.00490205,-0.0042675,-0.00563175,0.000248241,-0.000598032,0,-0.00222397,0.00760344,0.00158172,0.000392195,0.000227804
-0.00125654,-0.00551999,-0.00514694,0.0045389,0.00378755,0,0,0,0,0,0,-0.00328073,-0.00399893,-0.00356887,-0.00471955,0.000240658,-0.000776168,0,-0.00183648,0.00555606,0.00195557,0.000304849,0.000195169
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000384757,0.00442097,0.00514168,-0.00398285,-0.00328073,0,0,0,0,0,0,0.00316065,0.00379428,0.00329438,0.00429682,-0.000188586,-0.00152706,0,0.00181816,-0.00534782,-0.00245491,-0.000484866,-0.000236492
-0.00102223,0.00516217,0.00612132,-0.00490205,-0.00399893,0,0,0,0,0,0,0.00379428,0.00461401,0.00394374,0.005165,-0.000219021,-0.00143429,0,0.00217735,-0.00723169,-0.0019829,-0.00054109,-0.000267114
0.00280904,0.00525574,0.00519015,-0.0042675,-0.00356887,0,0,0,0,0,0,0.00329438,0.00394374,0.003637,0.00483118,-1.41453e-06,-0.000672504,0,0.00179095,-0.00592543,-0.00423929,-0.000446753,-0.000242808
-0.00732635,0.00671294,0.0063812,-0.00563175,-0.00471955,0,0,0,0,0,0,0.00429682,0.005165,0.00483118,0.00696994,0.0002086,-0.000388453,0,0.00236874,-0.00798537,-0.00540469,-0.000653043,-0.000174355
-0.00611698,-0.000487814,-0.000827466,0.000248241,0.000240658,0,0,0,0,0,0,-0.000188586,-0.000219021,-1.41453e-06,0.0002086,0.00184775,-0.000107973,0,-0.000267132,-0.000180568,-0.00200818,-9.61634e-05,0.000117747
-0.0229016,0.00218374,-0.0038702,-0.000598032,-0.000776168,0,0,0,0,0,0,-0.00152706,-0.00143429,-0.000672504,-0.000388453,-0.000107973,0.015878,0,-0.00142557,0.00383656,0.00553536,0.00128259,0.000409354
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.00367594,0.00324316,0.00313543,-0.00222397,-0.00183648,0,0,0,0,0,0,0.00181816,0.00217735,0.00179095,0.00236874,-0.000267132,-0.00142557,0,0.00139613,-0.00442102,0.000283266,-0.000212855,-8.91675e-05
0.447837,-0.010592,-0.00812238,0.00760344,0.00555606,0,0,0,0,0,0,-0.00534782,-0.00723169,-0.00592543,-0.00798537,-0.000180568,0.00383656,0,-0.00442102,0.569311,-0.00931029,0.00154193,0.00353147
-0.160334,-0.00867204,-0.00367235,0.00158172,0.00195557,0,0,0,0,0,0,-0.00245491,-0.0019829,-0.00423929,-0.00540469,-0.00200818,0.00553536,0,0.000283266,-0.00931029,0.0427702,0.00114944,0.000482289
0.01508,0.000119222,-0.000790317,0.000392195,0.000304849,0,0,0,0,0,0,-0.000484866,-0.00054109,-0.000446753,-0.000653043,-9.61634e-05,0.00128259,0,-0.000212855,0.00154193,0.00114944,0.000534076,4.79323e-05
-0.000151092,-0.000223121,-0.00048149,0.000227804,0.000195169,0,0,0,0,0,0,-0.000236492,-0.000267114,-0.000242808,-0.000174355,0.000117747,0.000409354,0,-8.91675e-05,0.00353147,0.000482289,4.79323e-05,0.000354281
